City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Puerto Armuelles,8.2833,-82.8667,27.83,71,57,2.24,PA,1705909865
340,Pawlowice,49.9613,18.7178,1.31,71,100,3.6,PL,1705909866
341,Jokioinen,60.8016,23.48,0.74,97,100,7.28,FI,1705909868
342,Xinyuan,37.3,99.0,-5.71,24,82,5.77,CN,1705909869
343,Huarmey,-10.0681,-78.1522,22.56,88,70,2.19,PE,1705909871
344,Bethanie,-26.4833,17.15,27.8,26,42,1.1,NA,1705909872
345,Vorkuta,67.5,64.0,-11.94,95,100,4.85,RU,1705909874
346,Papao,-17.75,-149.55,23.82,76,94,8.96,PF,1705909876
347,Airway Heights,47.6446,-117.5933,1.57,88,100,3.09,US,1705909877
348,Kavieng,-2.5744,150.7967,28.62,76,95,1.51,PG,1705909879
349,Port Saint John'S,-31.6229,29.5448,25.72,64,85,5.98,ZA,1705909880
